시장,코드,종목명,현재가,등락률,시가총액,거래량,거래대금억원_추정,PER,ROE,점수
KOSPI,0173,KODEX 미국AI광통신네트워크,14705.0,-0.14,5808.0,2640765.0,388.32449325,,,6
KOSPI,152100,PLUS 200,137010.0,3.83,20689.0,280705.0,384.5939205,,,6
KOSPI,0098,KODEX 원자력SMR,19565.0,1.01,3620.0,1962407.0,383.94492955,,,6
KOSPI,004020,현대제철,40150.0,1.65,53578.0,925853.0,371.7299795,743.52,-0.04,6
KOSPI,011210,현대위아,91000.0,3.06,24748.0,405729.0,369.21339,70.65,2.75,6
KOSPI,0180,ACE 미국우주테크액티브,14945.0,1.36,2922.0,2411205.0,360.35458725,,,6
KOSDAQ,232680,라온로보틱스,19530.0,-9.58,2562.0,1769904.0,345.6622512,48.34,10.85,6
KOSDAQ,290650,엘앤씨바이오,75800.0,-0.13,20443.0,452125.0,342.71075,-13.7,-57.68,6
KOSPI,450080,에코프로머티,62200.0,-3.57,43979.0,500173.0,311.107606,102.98,2.56,6
KOSPI,495850,KODEX 코리아밸류업,38990.0,2.38,9085.0,750351.0,292.5618549,,,6
KOSPI,486290,TIGER 미국나스닥100타겟데일리커버드콜,12205.0,1.71,18332.0,2293066.0,279.8687053,,,6
KOSDAQ,203650,드림시큐리티,3490.0,0.14,3528.0,7650021.0,266.9857329,43.62,7.19,6
KOSDAQ,437730,삼현,51100.0,-4.31,16203.0,514300.0,262.8073,155.79,8.46,6
KOSPI,465580,ACE 미국빅테크TOP7 Plus,26560.0,1.68,11846.0,986589.0,262.0380384,,,6
KOSPI,444200,SOL 코리아메가테크액티브,60530.0,2.79,7869.0,400315.0,242.3106695,,,6
KOSDAQ,417840,저스템,17560.0,-1.9,3980.0,1370109.0,240.5911404,58.34,6.89,6
KOSPI,498410,KODEX 금융고배당TOP10타겟위클리커버드콜,11380.0,-1.22,7204.0,1880154.0,213.9615252,,,6
KOSDAQ,295310,에이치브이엠,109800.0,-3.94,13206.0,189754.0,208.349892,103.58,16.15,6
KOSPI,001430,세아베스틸지주,53500.0,-3.6,19186.0,387152.0,207.12632,26.71,2.89,6
KOSPI,453850,ACE 미국30년국채액티브(H),7440.0,1.02,18072.0,2781821.0,206.9674824,,,6
KOSPI,035510,신세계 I&C,16910.0,12.14,2364.0,1134202.0,191.7935582,8.15,6.73,6
KOSPI,0043,TIGER 머니마켓액티브,102600.0,0.01,29643.0,186398.0,191.244348,,,6
KOSPI,475720,RISE 200위클리커버드콜,15940.0,1.95,10226.0,1120612.0,178.6255528,,,6
KOSPI,469830,SOL 초단기채권액티브,53915.0,0.03,11752.0,324928.0,175.1849312,,,6
KOSPI,0072,TIGER KRX금현물,14290.0,2.81,14133.0,1220786.0,174.4503194,,,6
KOSPI,476550,TIGER 미국30년국채커버드콜액티브(H),7195.0,0.77,9577.0,2388723.0,171.86861985,,,6
KOSPI,423160,KODEX KOFR금리액티브(합성),110645.0,0.01,42282.0,149393.0,165.29588485,,,6
KOSPI,494300,KODEX 미국나스닥100데일리커버드콜OTM,10980.0,0.92,8652.0,1499602.0,164.6562996,,,6
KOSPI,438100,ACE 미국나스닥100미국채혼합50액티브,16705.0,0.88,8252.0,936729.0,156.48057945,,,6
KOSPI,251600,PLUS 고배당주채권혼합,15690.0,0.48,7280.0,986664.0,154.8075816,,,6
KOSPI,441640,KODEX 미국배당커버드콜액티브,13395.0,0.19,15786.0,1153215.0,154.47314925,,,6
KOSPI,371160,TIGER 차이나항셍테크,8105.0,0.93,8227.0,1821832.0,147.6594836,,,6
KOSPI,449170,TIGER KOFR금리액티브(합성),111000.0,0.01,24192.0,125947.0,139.80117,,,6
KOSDAQ,232140,와이씨,16170.0,-5.66,13267.0,852061.0,137.7782637,68.81,5.56,6
KOSPI,315930,KODEX Top5PlusTR,100340.0,2.82,21071.0,135159.0,135.6185406,,,6
KOSPI,371460,TIGER 차이나전기차SOLACTIVE,13700.0,-0.4,11711.0,989391.0,135.546567,,,6
KOSPI,438080,ACE 미국S&P500미국채혼합50액티브,15145.0,0.5,11041.0,820790.0,124.3086455,,,6
KOSDAQ,033640,네패스,33950.0,-3.82,7829.0,333900.0,113.35905,110.59,14.19,6
KOSDAQ,078350,한양디지텍,31550.0,-9.6,4810.0,335692.0,105.910826,29.49,9.09,6
KOSPI,491010,TIGER 글로벌AI전력인프라액티브,34090.0,2.6,8291.0,302605.0,103.1580445,,,6
KOSDAQ,394420,리센스메디컬,26300.0,-7.07,2876.0,380871.0,100.169073,-12.78,45.75,6
KOSDAQ,024800,유성티엔에스,5000.0,-16.39,1853.0,1873511.0,93.67555,3.6,10.9,6
KOSDAQ,061090,세나테크놀로지,48400.0,15.93,2705.0,189158.0,91.552472,16.9,11.04,6
KOSDAQ,036010,아비코전자,11780.0,-12.29,1566.0,768021.0,90.4728738,13.96,8.5,6
KOSDAQ,214370,케어젠,88400.0,-1.12,47484.0,102168.0,90.316512,203.22,9.23,6
KOSPI,009470,삼화전기,38150.0,-5.69,2523.0,235779.0,89.9496885,25.59,10.39,6
